12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
12259, Ronnie, Lott, 4883.09, 4995.48, 1928.48, WEST,  MEETING, 11807.05
13245, Sally, Rutherford, 3889.52, 4932.43, 1224.98, SOUTH,  EMAIL, 10046.93
25461, Kelley, Slater, 382.43, 9345.95, 145.34, SOUTH,  MEETING, 9873.72
35698, Angela, Cachione, 4839.94, 8944.55, 1290.85, EAST,  MEETING, 15075.34

12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
12259, Ronnie, Lott, 4883.09, 4995.48, 1928.48, WEST,  MEETING, 11807.05
13245, Sally, Rutherford, 3889.52, 4932.43, 1224.98, SOUTH,  EMAIL, 10046.93
25461, Kelley, Slater, 382.43, 9345.95, 145.34, SOUTH,  MEETING, 9873.72
35698, Angela, Cachione, 4839.94, 8944.55, 1290.85, EAST,  MEETING, 15075.34
2550, Sid, Hurley, 2356.0, 9845.0, 6523.0, NORTH,  PHONE, 18724.0
12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
12259, Ronnie, Lott, 4883.09, 4995.48, 1928.48, WEST,  MEETING, 11807.05
13245, Sally, Rutherford, 3889.52, 4932.43, 1224.98, SOUTH,  EMAIL, 10046.93
25461, Kelley, Slater, 382.43, 9345.95, 145.34, SOUTH,  MEETING, 9873.72
35698, Angela, Cachione, 4839.94, 8944.55, 1290.85, EAST,  MEETING, 15075.34
2550, Sid, Hurley, 2356.0, 9845.0, 6523.0, NORTH,  PHONE, 18724.0
12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
12259, Ronnie, Lott, 4883.09, 4995.48, 1928.48, WEST,  MEETING, 11807.05
13245, Sally, Rutherford, 3889.52, 4932.43, 1224.98, SOUTH,  EMAIL, 10046.93
25461, Kelley, Slater, 382.43, 9345.95, 145.34, SOUTH,  MEETING, 9873.72
35698, Angela, Cachione, 4839.94, 8944.55, 1290.85, EAST,  MEETING, 15075.34
2550, Sid, Hurley, 2356.0, 9845.0, 6523.0, NORTH,  PHONE, 18724.0
12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
12259, Ronnie, Lott, 4883.09, 4995.48, 1928.48, WEST,  MEETING, 11807.05
13245, Sally, Rutherford, 3889.52, 4932.43, 1224.98, SOUTH,  EMAIL, 10046.93
25461, Kelley, Slater, 382.43, 9345.95, 145.34, SOUTH,  MEETING, 9873.72
35698, Angela, Cachione, 4839.94, 8944.55, 1290.85, EAST,  MEETING, 15075.34
2550, Sid, Hurley, 2356.0, 9845.0, 6523.0, NORTH,  PHONE, 18724.0
12252, Gabriel, Martinez, 1569.1, 6253.02, 5523.01, SOUTH,  PHONE, 13345.130000000001
12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
12259, Ronnie, Lott, 4883.09, 4995.48, 1928.48, WEST,  MEETING, 11807.05
13245, Sally, Rutherford, 3889.52, 4932.43, 1224.98, SOUTH,  EMAIL, 10046.93
25461, Kelley, Slater, 382.43, 9345.95, 145.34, SOUTH,  MEETING, 9873.72
35698, Angela, Cachione, 4839.94, 8944.55, 1290.85, EAST,  MEETING, 15075.34
2550, Sid, Hurley, 2356.0, 9845.0, 6523.0, NORTH,  PHONE, 18724.0
12252, Gabriel, Martinez, 1569.1, 6253.02, 5523.01, SOUTH,  PHONE, 13345.130000000001
12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
12259, Ronnie, Lott, 4883.09, 4995.48, 1928.48, WEST,  MEETING, 11807.05
13245, Sally, Rutherford, 3889.52, 4932.43, 1224.98, SOUTH,  EMAIL, 10046.93
25461, Kelley, Slater, 382.43, 9345.95, 145.34, SOUTH,  MEETING, 9873.72
35698, Angela, Cachione, 4839.94, 8944.55, 1290.85, EAST,  MEETING, 15075.34
2550, Sid, Hurley, 2356.0, 9845.0, 6523.0, NORTH,  PHONE, 18724.0
12252, Gabriel, Martinez, 1569.1, 6253.02, 5523.01, SOUTH,  PHONE, 13345.130000000001
12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
12259, Ronnie, Lott, 4883.09, 4995.48, 1928.48, WEST,  MEETING, 11807.05
13245, Sally, Rutherford, 3889.52, 4932.43, 1224.98, SOUTH,  EMAIL, 10046.93
25461, Kelley, Slater, 382.43, 9345.95, 145.34, SOUTH,  MEETING, 9873.72
35698, Angela, Cachione, 4839.94, 8944.55, 1290.85, EAST,  MEETING, 15075.34
2550, Sid, Hurley, 2356.0, 9845.0, 6523.0, NORTH,  PHONE, 18724.0
12252, Gabriel, Martinez, 1569.1, 6253.02, 5523.01, SOUTH,  PHONE, 13345.130000000001
12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
12259, Ronnie, Lott, 4883.09, 4995.48, 1928.48, WEST,  MEETING, 11807.05
13245, Sally, Rutherford, 3889.52, 4932.43, 1224.98, SOUTH,  EMAIL, 10046.93
25461, Kelley, Slater, 382.43, 9345.95, 145.34, SOUTH,  MEETING, 9873.72
35698, Angela, Cachione, 4839.94, 8944.55, 1290.85, EAST,  MEETING, 15075.34
2550, Sid, Hurley, 2356.0, 9845.0, 6523.0, NORTH,  PHONE, 18724.0
12252, Gabriel, Martinez, 1569.1, 6253.02, 5523.01, SOUTH,  PHONE, 13345.130000000001
12256, Jack, Johnson, 2563.25, 3566.25, 2588.45, NORTH,  MEETING, 8717.95
